Property ID,Column,Value in File 1,Value in File 2
PT-1014-2071354,Owner Id,"['4d143d03-c129-4f96-9d30-a29163c592d4', '96fd3fef-ac11-4da6-b736-eca7909cf4b0']","['96fd3fef-ac11-4da6-b736-eca7909cf4b0', '4d143d03-c129-4f96-9d30-a29163c592d4']"
PT-1014-1503300,Owner Id,"['b1fc69e6-b898-425f-bbc8-d126d539ffbf', 'aa61c613-07c2-4ec6-869d-e25a56bf83bb']","['aa61c613-07c2-4ec6-869d-e25a56bf83bb', 'b1fc69e6-b898-425f-bbc8-d126d539ffbf']"
PT-1014-780471,Owner Id,"['e5cd589d-9520-4b16-888b-bcb487bf40c4', '86f4cb91-bd20-4f13-b0a9-2beaca76f77c']","['86f4cb91-bd20-4f13-b0a9-2beaca76f77c', 'e5cd589d-9520-4b16-888b-bcb487bf40c4']"
PT-1014-1671364,Owner Id,"['c6771bf5-4e8a-4e53-9d1c-d79f81ab15be', 'c16064c7-d3b4-448e-ae0b-efedfa7ed217', '8f09f996-9174-4205-a0c6-ba9f16674a35']","['8f09f996-9174-4205-a0c6-ba9f16674a35', 'c16064c7-d3b4-448e-ae0b-efedfa7ed217', 'c6771bf5-4e8a-4e53-9d1c-d79f81ab15be']"
PT-1014-1040899,Owner Id,"['72bff3ee-7de9-43f6-a831-4064c7a888ad', '3dabe024-6a99-4b93-9b9e-cc4f424a287c', '841d67fd-0bc7-4be1-9168-69b660b50ac0']","['72bff3ee-7de9-43f6-a831-4064c7a888ad', '841d67fd-0bc7-4be1-9168-69b660b50ac0', '3dabe024-6a99-4b93-9b9e-cc4f424a287c']"
PT-1014-1738046,Owner Id,"['49855e88-5da6-4a86-ab9e-a0f57e162daa', '7b27ffb6-677f-4508-86e1-c00f5962574f', '5aaa2e42-c9ff-44c7-b371-7e3b80249749']","['5aaa2e42-c9ff-44c7-b371-7e3b80249749', '7b27ffb6-677f-4508-86e1-c00f5962574f', '49855e88-5da6-4a86-ab9e-a0f57e162daa']"
PT-1014-1551555,Owner Id,"['af049ea7-567d-46ce-890b-a61e22d609c3', 'b08c6d71-deaf-4a5e-8c49-ffb3cd489393']","['b08c6d71-deaf-4a5e-8c49-ffb3cd489393', 'af049ea7-567d-46ce-890b-a61e22d609c3']"
PT-1014-904584,Owner Id,"['dc3a649e-a524-4d2a-ab33-b0b8665f3082', '961a6b1c-89c8-4cb5-b33a-ace05bae04e9']","['961a6b1c-89c8-4cb5-b33a-ace05bae04e9', 'dc3a649e-a524-4d2a-ab33-b0b8665f3082']"
PT-1014-835722,Owner Id,"['94adec34-d7c5-4f88-8f39-fee41cfbb4a0', 'e754578a-0df7-4c7d-8765-a48518e40eab', 'd869a1ff-8125-4f20-a460-c1335f2baad0', '34eac405-988d-4870-a2f8-cba387f23fb7', '44fad1ce-e668-4392-85c8-fee6c840f7ca']","['e754578a-0df7-4c7d-8765-a48518e40eab', '34eac405-988d-4870-a2f8-cba387f23fb7', '94adec34-d7c5-4f88-8f39-fee41cfbb4a0', '44fad1ce-e668-4392-85c8-fee6c840f7ca', 'd869a1ff-8125-4f20-a460-c1335f2baad0']"
PT-1014-1026882,Owner Id,"['2f0d8867-5b0d-4978-8683-6a85952e56a5', '365478cd-2cca-41df-b16d-76e737abb60a']","['365478cd-2cca-41df-b16d-76e737abb60a', '2f0d8867-5b0d-4978-8683-6a85952e56a5']"
PT-1014-998930,Owner Id,"['e37bde15-0fe5-4763-a73f-9ecce467760a', 'f4535667-df1c-4af1-a572-d925e5507529', '08f3aee8-7500-4a06-b65d-53766f77ec0b']","['f4535667-df1c-4af1-a572-d925e5507529', 'e37bde15-0fe5-4763-a73f-9ecce467760a', '08f3aee8-7500-4a06-b65d-53766f77ec0b']"
