Property ID,Owner Id,Locality,Plot size,Propertyusagetype,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,YearOfConstruction
PT-1014-767603,['cbd17dee-4194-4671-8b1d-e3b9c89a14d1'],['PLC210'],12.4,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,0,0,"Demand not generated, hence not paid",0,0,
PT-1014-767614,"['1bc2ad5b-ac3c-4754-ac7d-33c1f60c7614', '11ba4bfa-756f-4a2a-a194-8a11b6df7da6', 'd7e76583-3acf-420d-98e0-a8f4af3978c9']",['PLC183'],40.0,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,"Demand not generated, hence not paid",0,0,0,0,
PT-1014-767727,['ec69daa9-7d83-463a-80e5-32a3230daae3'],['PLC184'],160.0,RESIDENTIAL,,0,0,0,0,0,0,656,621,581,534,446,
PT-1014-768832,"['46dfd787-edfc-40ea-9ea1-5704a99f232d', '19f92e58-6aea-43f8-97a9-d8ca3f043776']",['PLC186'],162.0,RESIDENTIAL,0.0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,0,0,
PT-1014-768838,['5d5459e8-cd87-4e6c-bc99-df02fc45cb5c'],['PLC103'],100.0,RESIDENTIAL,0.0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,0,0,
PT-1014-768843,['85e8e316-dcc3-43ea-8676-900b3394b099'],['PLC144'],100.0,RESIDENTIAL,0.0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,0,0,
PT-1014-768879,['75b3d507-b502-4639-912c-30204daf773e'],['PLC31'],142.0,RESIDENTIAL,,,,,0,0,0,0,0,0,442,369,
PT-1014-768965,"['8f124e36-d25c-4f74-9736-ee8776d3093a', '212d78c3-0b5f-464a-afe9-5fb7cd7278b1']",['PLC126'],223.0,MIXED,,,,,,,0,"Demand not generated, hence not paid",0,0,0,0,
PT-1014-769111,['c0b99f3b-8337-4166-b8b5-eade3f395834'],['PLC152'],117.0,RESIDENTIAL,,,,0,0,0,0,0,0,0,0,389,
PT-1014-769129,['dda2c523-d0d7-4410-9498-683f9f6b3031'],['PLC184'],101.25,RESIDENTIAL,,,,,,0,0,0,0,0,"Demand not generated, hence not paid",262,
PT-1014-769181,['314c7a08-100e-4224-bf23-265a47a00059'],['PLC188'],100.0,RESIDENTIAL,0.0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,0,0,
PT-1014-769208,"['e8dff645-68ca-4945-a8d9-fc0bea59ea8c', '2248a825-c708-4d41-b857-e540f0309310']",['PLC33'],460.0,RESIDENTIAL,,,,,,0,0,1239,0,1097,1009,843,
PT-1014-769212,['2248a825-c708-4d41-b857-e540f0309310'],['PLC58'],300.0,RESIDENTIAL,,,,,,0,0,1123,0,993,914,764,
PT-1014-769226,['e1aca6f9-5676-4e38-88b7-a57ec953b0aa'],['PLC188'],140.0,RESIDENTIAL,0.0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,328,310,290,267,223,
PT-1014-769229,['e1aca6f9-5676-4e38-88b7-a57ec953b0aa'],['PLC151'],520.0,RESIDENTIAL,0.0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",984,931,871,802,670,
PT-1014-769255,['3a86dcd4-5588-4a99-b70d-cd0e82253316'],['PLC191'],60.0,RESIDENTIAL,0.0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,0,0,
PT-1014-769276,['57e2b520-193a-4ef6-b120-5ceac4f724a2'],['PLC68'],112.0,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,154472,141051,127596,114065,85555,
PT-1014-769521,['8fc05344-7b37-47a4-b9bc-6b5ddff8742c'],['PLC163'],51.0,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,0,"Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,
PT-1014-769544,['04927f92-63b2-45b1-b77e-790c42331512'],['PLC75'],160.0,RESIDENTIAL,0.0,0,0,0,0,0,0,583,552,516,475,397,
PT-1014-769572,['09c1ce5c-129e-4c62-9a45-521aeece6bc2'],['PLC98'],90.0,RESIDENTIAL,,0,0,0,0,0,0,410,388,363,334,279,
PT-1014-769613,['12964d2e-3018-40b6-972b-c41621a3c544'],['PLC42'],160.0,RESIDENTIAL,,,,,,,0,0,"Demand not generated, hence not paid",0,0,0,
PT-1014-769626,['99e2dcbf-ea06-43c6-9f83-3c0a61b591fc'],['PLC144'],300.0,RESIDENTIAL,,,,,,,0,0,"Demand not generated, hence not paid",645,594,496,
PT-1014-769636,['99e2dcbf-ea06-43c6-9f83-3c0a61b591fc'],['PLC144'],300.0,MIXED,,,,,,,0,"Demand not generated, hence not paid",4262,4027,3756,3022,
PT-1014-769752,"['99092146-af68-4da6-b777-a26354bcbd12', '7175b1b6-8aa5-41c4-8d7f-476a669f2e02', '2ea77b78-eec8-40ef-829b-6f92055084d4', '226b4801-567e-435d-a195-1247860c622a', 'd079a19d-ffa6-4725-a2d8-3531e14fe423', '83dbd539-26c1-4588-b5dc-8637b49a3948']",['PLC184'],200.0,RESIDENTIAL,,,,,,,0,0,0,0,"Demand not generated, hence not paid",0,
PT-1014-769755,['560adba9-63e8-403c-b02f-40464c809410'],['PLC134'],200.0,RESIDENTIAL,0.0,0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",620,586,548,505,422,
PT-1014-769765,['560adba9-63e8-403c-b02f-40464c809410'],['PLC134'],200.0,RESIDENTIAL,,0,0,0,0,0,0,0,0,0,0,496,
PT-1014-769777,['3221b2d5-06ca-4756-abdb-87a3bc1debe9'],['PLC94'],53.0,MIXED,,,,,,,0,0,0,0,0,0.48,
PT-1014-769969,['e6ae0edd-9090-486a-bbcb-1a1075d2e052'],['PLC211'],160.0,RESIDENTIAL,,,,,,,0,"Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,
PT-1014-769978,['46bb0db3-167d-4bae-ac03-b29f15556dc6'],['PLC98'],193.0,RESIDENTIAL,,,,,,0,0,0,0,0,705,594,
PT-1014-770145,['f9dbf22c-fe2e-4d41-a20a-9e94710ca91f'],['PLC68'],200.0,RESIDENTIAL,,,,,,,0,0,0,0,0,496,
PT-1014-770190,"['6ce317e7-2291-4ba1-88d5-165f314f5707', '9c1c86af-4058-4180-ae13-ffab197d5a95', '21402426-a405-4612-8389-8bd91716e0b0']",['PLC35'],14.0,NONRESIDENTIAL.COMMERCIAL,,0,0,0,0,0,0,0,0,0,0,3710,
PT-1014-770723,['cab28470-4052-4ad6-8095-482d0d879a94'],['PLC123'],21.0,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,762,729,691,646,558,
PT-1014-770798,['079b3002-3b5a-45de-89a5-3a99adcedf72'],['PLC5'],1300.0,RESIDENTIAL,,,,,,,0,"Demand not generated, hence not paid",0,0,0,0,
PT-1014-770837,['66209563-f0e3-4b48-bd1e-0ff79b0e4389'],['PLC51'],60.0,NONRESIDENTIAL.COMMERCIAL,,,0,0,0,0,"Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,0,
PT-1014-771056,['36d0f66e-e8ea-431d-9760-62dbf3030426'],['PLC151'],300.0,RESIDENTIAL,,,,,,,0,0,0,0,"Demand not generated, hence not paid",570,
PT-1014-771183,['b44bf8e3-575f-4e9b-981d-d530d89c5d16'],['PLC154'],121.0,RESIDENTIAL,,,,,,,0,0,0,0,30,0,
PT-1014-771389,['3eb85931-5e73-40d1-8449-cf45ab2538e6'],['PLC121'],78.0,NONRESIDENTIAL.COMMERCIAL,,0,0,0,0,0,0,0,0,0,0,0.06,
PT-1014-771556,"['fed4b046-2268-473f-b73b-e56d12d9c9ed', '8bae57ef-e232-441e-ac69-5533e1d4d7b4']",['PLC81'],240.0,RESIDENTIAL,,,,,,,0,0,0,"Demand not generated, hence not paid",0,0,
PT-1014-771609,['21dc9bf1-06b5-4103-8044-e7c7c75eb1e7'],['PLC96'],85.0,RESIDENTIAL,0.0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,0,0,
PT-1014-771614,['557a48dd-4ce3-4dcd-9821-f54d3ef3c3ad'],['PLC17'],90.0,RESIDENTIAL,0.0,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,0,0,
